emotion;path;in_set;fold
2;5475.png;Training;4
2;5476.png;Training;0
1;5477.png;Training;1
0;5478.png;Training;0
0;5479.png;Training;4
2;5480.png;Training;2
0;5482.png;Training;3
2;5483.png;Training;3
1;5484.png;Training;0
0;5485.png;Training;0
2;5486.png;Training;0
1;5488.png;Training;1
1;5490.png;Training;2
1;5491.png;Training;3
1;5493.png;Training;3
2;5494.png;Training;4
2;5495.png;Training;2
2;5496.png;Training;0
2;5497.png;Training;3
1;5498.png;Training;3
0;5499.png;Training;4
2;5500.png;Training;0
0;5501.png;Training;1
0;5502.png;Training;4
2;5503.png;Training;0
2;5504.png;Training;4
2;5505.png;Training;4
1;5507.png;Training;3
2;5508.png;Training;4
1;5509.png;Training;0
0;5510.png;Training;4
1;5511.png;Training;0
2;5512.png;Training;3
2;5514.png;Training;2
2;5515.png;Training;4
2;5516.png;Training;2
2;5517.png;Training;0
2;5518.png;Training;1
2;5519.png;Training;4
2;5520.png;Training;3
2;5521.png;Training;4
1;5522.png;Training;0
1;5523.png;Training;1
2;5524.png;Training;3
2;5525.png;Training;1
0;5526.png;Training;1
0;5527.png;Training;1
2;5528.png;Training;3
2;5529.png;Training;1
2;5531.png;Training;2
2;5532.png;Training;0
2;5533.png;Training;0
2;5534.png;Training;3
2;5535.png;Training;2
0;5536.png;Training;3
2;5537.png;Training;2
2;5538.png;Training;1
2;5539.png;Training;4
0;5540.png;Training;3
2;5541.png;Training;4
2;5542.png;Training;1
1;5543.png;Training;3
2;5544.png;Training;2
2;5545.png;Training;1
2;5546.png;Training;0
1;5547.png;Training;2
1;5548.png;Training;4
0;5549.png;Training;0
2;5551.png;Training;0
0;5552.png;Training;0
2;5553.png;Training;3
1;5554.png;Training;3
1;5555.png;Training;4
0;5556.png;Training;3
2;5557.png;Training;1
1;5558.png;Training;3
2;5559.png;Training;4
2;5560.png;Training;4
0;5561.png;Training;1
2;5562.png;Training;4
2;5564.png;Training;2
1;5565.png;Training;0
2;5566.png;Training;3
2;5567.png;Training;3
2;5569.png;Training;1
2;5570.png;Training;0
1;5571.png;Training;4
0;5572.png;Training;1
1;5573.png;Training;2
1;5574.png;Training;0
2;5575.png;Training;1
1;5576.png;Training;2
2;5578.png;Training;0
0;5579.png;Training;0
1;5580.png;Training;0
2;5581.png;Training;1
2;5582.png;Training;3
2;5583.png;Training;1
0;5584.png;Training;0
2;5585.png;Training;1
2;5586.png;Training;0
2;5587.png;Training;0
2;5588.png;Training;3
0;5589.png;Training;2
2;5590.png;Training;1
0;5591.png;Training;2
2;5593.png;Training;3
1;5594.png;Training;1
0;5596.png;Training;4
2;5598.png;Training;2
0;5599.png;Training;1
2;5600.png;Training;3
0;5602.png;Training;4
2;5603.png;Training;2
1;5604.png;Training;4
1;5605.png;Training;1
2;5606.png;Training;0
2;5607.png;Training;1
0;5608.png;Training;4
2;5610.png;Training;4
0;5611.png;Training;3
2;5612.png;Training;1
2;5613.png;Training;1
1;5614.png;Training;3
2;5615.png;Training;0
2;5617.png;Training;1
1;5618.png;Training;2
2;5619.png;Training;2
0;5621.png;Training;0
2;5622.png;Training;1
0;5624.png;Training;4
0;5625.png;Training;1
2;5626.png;Training;0
2;5627.png;Training;3
2;5628.png;Training;2
2;5629.png;Training;1
0;5630.png;Training;2
2;5631.png;Training;3
1;5632.png;Training;0
2;5633.png;Training;3
2;5634.png;Training;2
2;5635.png;Training;0
2;5637.png;Training;3
2;5638.png;Training;2
2;5639.png;Training;0
2;5640.png;Training;3
2;5641.png;Training;1
2;5642.png;Training;3
0;5643.png;Training;3
1;5644.png;Training;2
2;5645.png;Training;2
2;5646.png;Training;4
1;5647.png;Training;1
0;5648.png;Training;2
1;5649.png;Training;0
2;5650.png;Training;4
0;5651.png;Training;1
0;5652.png;Training;1
2;5653.png;Training;4
2;5654.png;Training;4
2;5655.png;Training;3
1;5656.png;Training;3
2;5659.png;Training;3
0;5660.png;Training;0
2;5661.png;Training;0
1;5662.png;Training;4
2;5663.png;Training;3
1;5665.png;Training;3
2;5666.png;Training;0
2;5667.png;Training;2
1;5668.png;Training;3
0;5669.png;Training;0
2;5670.png;Training;2
1;5671.png;Training;0
1;5672.png;Training;2
1;5673.png;Training;2
1;5674.png;Training;3
0;5675.png;Training;4
2;5676.png;Training;1
2;5677.png;Training;1
2;5678.png;Training;2
2;5679.png;Training;1
1;5681.png;Training;2
2;5682.png;Training;2
2;5683.png;Training;2
0;5684.png;Training;1
1;5685.png;Training;3
2;5686.png;Training;1
0;5687.png;Training;3
1;5688.png;Training;1
2;5689.png;Training;4
0;5690.png;Training;0
1;5691.png;Training;0
2;5692.png;Training;4
0;5693.png;Training;2
1;5694.png;Training;0
0;5695.png;Training;3
2;5697.png;Training;4
2;5698.png;Training;2
0;5699.png;Training;0
1;5700.png;Training;4
2;5701.png;Training;0
2;5702.png;Training;2
2;5704.png;Training;1
1;5705.png;Training;1
1;5707.png;Training;3
0;5708.png;Training;2
2;5709.png;Training;0
2;5710.png;Training;0
2;5711.png;Training;2
0;5713.png;Training;4
1;5714.png;Training;3
0;5715.png;Training;2
0;5716.png;Training;4
2;5717.png;Training;0
1;5718.png;Training;3
1;5719.png;Training;1
2;5720.png;Training;4
0;5724.png;Training;4
2;5725.png;Training;4
2;5726.png;Training;0
2;5727.png;Training;1
1;5729.png;Training;4
1;5730.png;Training;4
2;5731.png;Training;1
2;5732.png;Training;2
2;5733.png;Training;1
0;5734.png;Training;1
1;5735.png;Training;1
2;5736.png;Training;0
2;5737.png;Training;3
1;5738.png;Training;2
2;5739.png;Training;0
2;5740.png;Training;3
2;5741.png;Training;3
2;5742.png;Training;3
1;5743.png;Training;1
2;5744.png;Training;1
0;5745.png;Training;2
2;5747.png;Training;3
0;5748.png;Training;4
0;5749.png;Training;3
2;5750.png;Training;1
2;5752.png;Training;2
1;5753.png;Training;0
0;5754.png;Training;1
2;5755.png;Training;0
1;5756.png;Training;1
2;5757.png;Training;3
1;5758.png;Training;1
2;5759.png;Training;1
2;5761.png;Training;1
2;5762.png;Training;2
2;5763.png;Training;0
1;5764.png;Training;0
2;5765.png;Training;4
1;5766.png;Training;2
2;5767.png;Training;3
2;5768.png;Training;2
1;5769.png;Training;2
1;5770.png;Training;3
2;5772.png;Training;2
1;5773.png;Training;0
1;5774.png;Training;3
0;5775.png;Training;1
2;5776.png;Training;3
1;5777.png;Training;2
1;5779.png;Training;4
2;5780.png;Training;3
1;5781.png;Training;4
2;5782.png;Training;1
1;5783.png;Training;2
0;5784.png;Training;4
2;5785.png;Training;0
1;5786.png;Training;3
2;5787.png;Training;3
1;5788.png;Training;2
2;5789.png;Training;3
2;5790.png;Training;4
2;5791.png;Training;1
0;5792.png;Training;3
2;5793.png;Training;3
2;5794.png;Training;1
1;5796.png;Training;2
1;5797.png;Training;2
2;5798.png;Training;1
2;5799.png;Training;2
1;5800.png;Training;4
2;5801.png;Training;4
2;5802.png;Training;4
2;5803.png;Training;1
1;5804.png;Training;1
2;5805.png;Training;4
1;5806.png;Training;3
1;5807.png;Training;4
1;5808.png;Training;1
2;5809.png;Training;0
2;5810.png;Training;4
0;5811.png;Training;2
1;5812.png;Training;0
0;5813.png;Training;0
2;5814.png;Training;2
2;5815.png;Training;3
1;5816.png;Training;1
0;5817.png;Training;4
0;5818.png;Training;4
1;5819.png;Training;4
1;5820.png;Training;4
1;5821.png;Training;2
2;5822.png;Training;2
1;5823.png;Training;0
1;5824.png;Training;0
2;5825.png;Training;4
2;5826.png;Training;0
2;5827.png;Training;1
2;5828.png;Training;2
2;5829.png;Training;1
2;5830.png;Training;4
0;5831.png;Training;1
2;5832.png;Training;4
1;5833.png;Training;2
2;5834.png;Training;0
1;5835.png;Training;1
2;5836.png;Training;2
2;5837.png;Training;3
2;5839.png;Training;3
1;5840.png;Training;2
2;5841.png;Training;1
2;5843.png;Training;2
0;5844.png;Training;0
1;5845.png;Training;3
1;5846.png;Training;4
2;5847.png;Training;3
2;5848.png;Training;2
0;5849.png;Training;0
2;5850.png;Training;0
0;5851.png;Training;3
1;5852.png;Training;1
0;5853.png;Training;4
0;5854.png;Training;1
2;5856.png;Training;4
1;5857.png;Training;3
2;5858.png;Training;3
2;5859.png;Training;4
2;5860.png;Training;4
2;5861.png;Training;0
2;5862.png;Training;4
2;5863.png;Training;1
0;5864.png;Training;3
0;5865.png;Training;1
2;5867.png;Training;3
1;5868.png;Training;1
0;5869.png;Training;4
2;5871.png;Training;4
2;5872.png;Training;2
0;5873.png;Training;3
1;5874.png;Training;1
1;5875.png;Training;0
2;5876.png;Training;4
0;5877.png;Training;3
1;5878.png;Training;0
0;5879.png;Training;4
2;5882.png;Training;2
2;5883.png;Training;4
0;5884.png;Training;2
0;5885.png;Training;1
0;5886.png;Training;2
0;5887.png;Training;2
2;5888.png;Training;4
2;5889.png;Training;2
0;5890.png;Training;3
1;5891.png;Training;4
2;5892.png;Training;0
2;5894.png;Training;2
0;5895.png;Training;2
2;5896.png;Training;4
0;5897.png;Training;4
1;5898.png;Training;0
2;5899.png;Training;2
2;5900.png;Training;1
2;5901.png;Training;4
2;5902.png;Training;1
2;5903.png;Training;0
1;5904.png;Training;2
0;5906.png;Training;4
2;5907.png;Training;0
2;5908.png;Training;2
1;5909.png;Training;4
2;5910.png;Training;4
2;5911.png;Training;0
0;5912.png;Training;0
1;5913.png;Training;4
2;5915.png;Training;4
0;5916.png;Training;1
1;5917.png;Training;0
2;5918.png;Training;0
1;5919.png;Training;2
0;5920.png;Training;1
1;5921.png;Training;4
2;5922.png;Training;3
1;5923.png;Training;1
1;5924.png;Training;0
2;5925.png;Training;1
1;5926.png;Training;1
0;5927.png;Training;1
2;5928.png;Training;3
2;5929.png;Training;0
2;5930.png;Training;2
0;5931.png;Training;0
2;5933.png;Training;1
2;5934.png;Training;0
2;5935.png;Training;2
2;5936.png;Training;1
2;5937.png;Training;4
2;5939.png;Training;4
1;5940.png;Training;3
1;5942.png;Training;1
2;5944.png;Training;1
0;5945.png;Training;2
1;5946.png;Training;2
2;5947.png;Training;0
1;5950.png;Training;4
2;5952.png;Training;1
0;5953.png;Training;0
1;5954.png;Training;0
2;5955.png;Training;4
2;5956.png;Training;0
2;5957.png;Training;2
2;5958.png;Training;3
2;5959.png;Training;1
1;5960.png;Training;1
2;5961.png;Training;4
2;5962.png;Training;1
1;5963.png;Training;2
2;5964.png;Training;1
0;5965.png;Training;3
2;5966.png;Training;4
2;5967.png;Training;1
1;5968.png;Training;2
1;5969.png;Training;1
2;5970.png;Training;1
0;5971.png;Training;0
1;5972.png;Training;1
0;5973.png;Training;1
2;5974.png;Training;0
2;5975.png;Training;4
0;5976.png;Training;0
1;5977.png;Training;1
2;5978.png;Training;1
2;5979.png;Training;1
0;5980.png;Training;1
1;5982.png;Training;2
0;5983.png;Training;1
0;5984.png;Training;0
2;5985.png;Training;4
0;5986.png;Training;1
2;5987.png;Training;1
1;5988.png;Training;1
2;5989.png;Training;4
2;5990.png;Training;3
1;5991.png;Training;2
2;5992.png;Training;3
0;5993.png;Training;0
2;5994.png;Training;3
2;5995.png;Training;4
2;5996.png;Training;4
0;5998.png;Training;1
2;5999.png;Training;0
2;6000.png;Training;0
1;6001.png;Training;1
2;6002.png;Training;1
2;6003.png;Training;2
1;6004.png;Training;4
2;6005.png;Training;4
2;6006.png;Training;1
2;6007.png;Training;0
1;6008.png;Training;3
2;6009.png;Training;1
1;6010.png;Training;1
2;6011.png;Training;3
1;6012.png;Training;1
1;6015.png;Training;4
0;6016.png;Training;3
2;6017.png;Training;0
0;6018.png;Training;4
2;6021.png;Training;2
2;6022.png;Training;1
2;6023.png;Training;3
2;6024.png;Training;2
2;6025.png;Training;3
2;6026.png;Training;0
0;6027.png;Training;1
2;6028.png;Training;3
1;6029.png;Training;2
2;6030.png;Training;2
2;6031.png;Training;3
2;6033.png;Training;1
0;6034.png;Training;1
2;6035.png;Training;4
2;6036.png;Training;3
2;6037.png;Training;0
0;6038.png;Training;3
2;6039.png;Training;4
0;6040.png;Training;2
1;6042.png;Training;2
1;6043.png;Training;3
1;6044.png;Training;3
1;6045.png;Training;2
2;6047.png;Training;2
1;6048.png;Training;4
2;6049.png;Training;1
1;6051.png;Training;0
1;6052.png;Training;2
2;6053.png;Training;4
2;6054.png;Training;1
2;6055.png;Training;4
0;6056.png;Training;4
2;6059.png;Training;3
2;6060.png;Training;4
2;6061.png;Training;2
2;6062.png;Training;4
2;6063.png;Training;4
2;6064.png;Training;2
0;6065.png;Training;1
2;6066.png;Training;1
2;6067.png;Training;4
2;6068.png;Training;2
0;6069.png;Training;1
2;6070.png;Training;4
2;6071.png;Training;0
2;6072.png;Training;4
2;6073.png;Training;1
2;6074.png;Training;2
2;6075.png;Training;4
1;6076.png;Training;3
1;6077.png;Training;1
0;6078.png;Training;0
2;6079.png;Training;0
1;6080.png;Training;1
1;6081.png;Training;3
2;6082.png;Training;1
2;6083.png;Training;1
2;6084.png;Training;4
2;6085.png;Training;0
2;6087.png;Training;1
2;6088.png;Training;2
1;6089.png;Training;3
2;6090.png;Training;0
2;6091.png;Training;1
2;6092.png;Training;3
0;6093.png;Training;2
2;6094.png;Training;1
1;6095.png;Training;3
2;6097.png;Training;3
1;6098.png;Training;2
1;6099.png;Training;2
2;6101.png;Training;3
0;6102.png;Training;4
0;6103.png;Training;4
2;6104.png;Training;3
2;6105.png;Training;3
2;6106.png;Training;3
2;6107.png;Training;3
1;6108.png;Training;1
2;6109.png;Training;4
1;6110.png;Training;4
2;6111.png;Training;2
1;6112.png;Training;3
2;6113.png;Training;4
2;6114.png;Training;4
2;6115.png;Training;3
2;6116.png;Training;3
1;6117.png;Training;1
2;6119.png;Training;4
2;6120.png;Training;4
2;6121.png;Training;2
2;6122.png;Training;4
1;6123.png;Training;1
1;6124.png;Training;0
1;6125.png;Training;4
1;6126.png;Training;4
1;6127.png;Training;3
2;6128.png;Training;2
2;6129.png;Training;1
2;6130.png;Training;2
2;6131.png;Training;0
1;6132.png;Training;2
2;6134.png;Training;2
1;6135.png;Training;0
1;6136.png;Training;1
2;6137.png;Training;4
1;6138.png;Training;1
2;6140.png;Training;3
1;6141.png;Training;2
2;6142.png;Training;4
0;6143.png;Training;1
2;6144.png;Training;3
2;6145.png;Training;1
2;6146.png;Training;3
2;6147.png;Training;2
0;6148.png;Training;3
2;6149.png;Training;2
1;6150.png;Training;3
2;6151.png;Training;1
2;6152.png;Training;1
2;6153.png;Training;3
2;6155.png;Training;0
0;6156.png;Training;3
1;6157.png;Training;4
0;6158.png;Training;1
2;6159.png;Training;0
2;6161.png;Training;0
2;6162.png;Training;4
2;6163.png;Training;4
2;6165.png;Training;1
0;6166.png;Training;4
2;6168.png;Training;4
1;6169.png;Training;4
2;6170.png;Training;1
2;6171.png;Training;4
2;6172.png;Training;3
2;6173.png;Training;4
0;6174.png;Training;4
1;6175.png;Training;3
2;6176.png;Training;0
2;6177.png;Training;1
0;6178.png;Training;0
2;6179.png;Training;3
0;6180.png;Training;3
1;6181.png;Training;2
1;6183.png;Training;1
2;6185.png;Training;1
1;6186.png;Training;3
2;6187.png;Training;0
2;6188.png;Training;4
1;6189.png;Training;1
2;6190.png;Training;3
1;6191.png;Training;3
0;6192.png;Training;3
0;6193.png;Training;3
2;6194.png;Training;4
0;6195.png;Training;2
0;6196.png;Training;2
1;6197.png;Training;0
1;6198.png;Training;0
1;6200.png;Training;1
2;6201.png;Training;1
2;6202.png;Training;1
0;6203.png;Training;1
1;6204.png;Training;3
0;6205.png;Training;3
1;6206.png;Training;3
2;6207.png;Training;2
2;6208.png;Training;4
1;6209.png;Training;2
2;6210.png;Training;0
1;6211.png;Training;2
2;6212.png;Training;3
0;6213.png;Training;2
2;6214.png;Training;3
2;6215.png;Training;4
1;6217.png;Training;2
1;6218.png;Training;3
1;6220.png;Training;3
0;6221.png;Training;4
2;6222.png;Training;2
2;6223.png;Training;1
2;6225.png;Training;1
2;6226.png;Training;1
2;6227.png;Training;3
2;6228.png;Training;0
2;6229.png;Training;3
1;6230.png;Training;1
2;6231.png;Training;4
2;6232.png;Training;3
0;6234.png;Training;4
2;6235.png;Training;0
0;6236.png;Training;1
1;6237.png;Training;0
0;6238.png;Training;4
2;6241.png;Training;2
1;6242.png;Training;2
0;6243.png;Training;4
2;6244.png;Training;2
2;6245.png;Training;4
1;6246.png;Training;0
2;6248.png;Training;0
2;6249.png;Training;3
1;6251.png;Training;0
2;6252.png;Training;4
1;6253.png;Training;0
2;6254.png;Training;0
0;6255.png;Training;0
1;6256.png;Training;2
2;6259.png;Training;0
1;6260.png;Training;1
1;6261.png;Training;3
1;6262.png;Training;0
2;6263.png;Training;0
2;6264.png;Training;4
2;6265.png;Training;0
0;6266.png;Training;2
1;6268.png;Training;3
2;6270.png;Training;1
1;6271.png;Training;2
1;6272.png;Training;1
2;6274.png;Training;2
0;6277.png;Training;3
2;6278.png;Training;4
1;6279.png;Training;3
1;6280.png;Training;2
1;6281.png;Training;4
2;6282.png;Training;2
2;6283.png;Training;1
1;6284.png;Training;2
1;6285.png;Training;1
2;6286.png;Training;2
1;6287.png;Training;3
0;6289.png;Training;0
1;6290.png;Training;3
2;6291.png;Training;0
1;6292.png;Training;0
2;6293.png;Training;1
2;6294.png;Training;4
1;6295.png;Training;4
0;6296.png;Training;1
0;6297.png;Training;4
2;6298.png;Training;3
2;6299.png;Training;1
1;6300.png;Training;0
2;6301.png;Training;1
1;6302.png;Training;1
1;6303.png;Training;1
2;6304.png;Training;0
1;6305.png;Training;1
2;6307.png;Training;0
1;6308.png;Training;1
1;6310.png;Training;0
2;6311.png;Training;1
2;6312.png;Training;4
1;6313.png;Training;1
2;6314.png;Training;2
0;6315.png;Training;0
2;6316.png;Training;3
2;6317.png;Training;1
2;6319.png;Training;1
1;6320.png;Training;3
2;6321.png;Training;4
2;6323.png;Training;3
2;6324.png;Training;1
0;6325.png;Training;1
0;6326.png;Training;2
1;6327.png;Training;1
1;6329.png;Training;0
2;6330.png;Training;0
2;6331.png;Training;0
2;6332.png;Training;4
1;6333.png;Training;1
1;6334.png;Training;2
0;6335.png;Training;2
1;6336.png;Training;0
1;6337.png;Training;4
1;6338.png;Training;0
2;6339.png;Training;3
0;6340.png;Training;0
2;6341.png;Training;2
2;6342.png;Training;3
0;6343.png;Training;1
1;6344.png;Training;2
2;6345.png;Training;1
2;6346.png;Training;2
2;6347.png;Training;2
0;6348.png;Training;0
1;6349.png;Training;0
1;6350.png;Training;0
0;6351.png;Training;1
1;6352.png;Training;2
2;6353.png;Training;2
2;6354.png;Training;2
2;6355.png;Training;0
2;6356.png;Training;1
1;6358.png;Training;1
2;6361.png;Training;4
1;6362.png;Training;4
1;6363.png;Training;0
2;6364.png;Training;1
2;6365.png;Training;4
2;6366.png;Training;1
1;6367.png;Training;3
1;6368.png;Training;3
2;6369.png;Training;0
1;6370.png;Training;1
2;6371.png;Training;1
1;6372.png;Training;0
2;6373.png;Training;0
2;6374.png;Training;1
2;6375.png;Training;4
2;6376.png;Training;4
1;6377.png;Training;0
1;6378.png;Training;0
1;6379.png;Training;0
1;6380.png;Training;0
0;6381.png;Training;3
1;6382.png;Training;2
2;6383.png;Training;1
0;6385.png;Training;1
1;6386.png;Training;3
0;6388.png;Training;1
2;6389.png;Training;1
2;6390.png;Training;2
2;6391.png;Training;1
1;6392.png;Training;2
2;6393.png;Training;3
1;6394.png;Training;4
0;6395.png;Training;0
2;6396.png;Training;3
0;6397.png;Training;2
0;6398.png;Training;4
2;6399.png;Training;4
2;6400.png;Training;1
1;6401.png;Training;4
0;6402.png;Training;2
1;6403.png;Training;4
2;6404.png;Training;1
0;6405.png;Training;0
1;6406.png;Training;1
1;6407.png;Training;3
2;6408.png;Training;1
2;6409.png;Training;1
0;6412.png;Training;3
2;6413.png;Training;1
1;6414.png;Training;1
1;6416.png;Training;2
1;6418.png;Training;2
2;6420.png;Training;2
2;6421.png;Training;3
2;6422.png;Training;0
0;6423.png;Training;3
2;6424.png;Training;0
2;6426.png;Training;0
2;6428.png;Training;0
2;6429.png;Training;1
1;6430.png;Training;4
2;6431.png;Training;2
1;6432.png;Training;0
2;6433.png;Training;0
2;6434.png;Training;4
2;6435.png;Training;3
1;6436.png;Training;2
1;6437.png;Training;3
2;6438.png;Training;4
2;6440.png;Training;1
2;6442.png;Training;0
0;6443.png;Training;1
1;6444.png;Training;0
2;6445.png;Training;4
0;6446.png;Training;1
2;6448.png;Training;3
2;6449.png;Training;1
1;6450.png;Training;4
2;6452.png;Training;4
0;6453.png;Training;1
2;6454.png;Training;0
1;6455.png;Training;3
0;6456.png;Training;3
1;6457.png;Training;2
2;6458.png;Training;1
2;6459.png;Training;1
2;6460.png;Training;3
2;6461.png;Training;0
2;6462.png;Training;1
0;6463.png;Training;2
2;6464.png;Training;2
2;6465.png;Training;4
1;6466.png;Training;2
2;6467.png;Training;3
1;6468.png;Training;2
2;6469.png;Training;4
2;6470.png;Training;3
2;6471.png;Training;3
1;6472.png;Training;4
1;6473.png;Training;2
2;6474.png;Training;2
1;6475.png;Training;3
0;6476.png;Training;4
1;6477.png;Training;4
2;6478.png;Training;0
2;6479.png;Training;3
0;6480.png;Training;3
2;6481.png;Training;4
2;6482.png;Training;3
2;6484.png;Training;1
2;6485.png;Training;4
1;6487.png;Training;0
2;6488.png;Training;3
1;6489.png;Training;3
2;6490.png;Training;2
2;6491.png;Training;3
2;6492.png;Training;0
2;6493.png;Training;1
2;6494.png;Training;3
2;6495.png;Training;4
2;6496.png;Training;0
2;6498.png;Training;0
0;6499.png;Training;3
1;6500.png;Training;1
2;6501.png;Training;1
0;6502.png;Training;1
0;6503.png;Training;4
2;6504.png;Training;2
1;6505.png;Training;1
2;6506.png;Training;2
1;6507.png;Training;1
2;6509.png;Training;2
2;6510.png;Training;0
2;6511.png;Training;4
2;6512.png;Training;4
2;6514.png;Training;3
2;6515.png;Training;2
2;6516.png;Training;3
2;6517.png;Training;0
2;6519.png;Training;0
2;6520.png;Training;2
2;6521.png;Training;3
1;6522.png;Training;2
0;6523.png;Training;0
2;6524.png;Training;3
1;6525.png;Training;2
1;6526.png;Training;0
0;6527.png;Training;4
0;6528.png;Training;3
2;6529.png;Training;3
2;6530.png;Training;0
2;6531.png;Training;0
1;6532.png;Training;3
1;6534.png;Training;4
1;6535.png;Training;2
2;6536.png;Training;3
2;6539.png;Training;3
0;6540.png;Training;3
2;6541.png;Training;3
2;6542.png;Training;1
2;6543.png;Training;1
2;6544.png;Training;3
0;6545.png;Training;0
1;6546.png;Training;4
2;6547.png;Training;0
2;6548.png;Training;0
2;6549.png;Training;2
2;6550.png;Training;0
2;6551.png;Training;2
0;6552.png;Training;1
1;6553.png;Training;1
0;6554.png;Training;4
2;6555.png;Training;4
2;6556.png;Training;3
2;6557.png;Training;2
2;6558.png;Training;0
1;6560.png;Training;4
2;6561.png;Training;1
2;6562.png;Training;1
2;6563.png;Training;1
2;6566.png;Training;3
2;6568.png;Training;2
2;6569.png;Training;1
2;6570.png;Training;3
2;6571.png;Training;4
2;6573.png;Training;4
2;6574.png;Training;4
2;6575.png;Training;3
2;6576.png;Training;0
1;6577.png;Training;4
1;6578.png;Training;1
1;6579.png;Training;1
2;6580.png;Training;2
2;6581.png;Training;2
0;6582.png;Training;3
2;6583.png;Training;3
2;6584.png;Training;2
0;6585.png;Training;4
1;6586.png;Training;1
0;6587.png;Training;2
2;6589.png;Training;3
0;6590.png;Training;1
2;6591.png;Training;3
1;6592.png;Training;4
0;6593.png;Training;3
0;6596.png;Training;4
1;6597.png;Training;1
0;6599.png;Training;4
1;6600.png;Training;0
0;6602.png;Training;2
1;6603.png;Training;0
1;6604.png;Training;0
1;6605.png;Training;3
1;6607.png;Training;0
2;6608.png;Training;4
1;6609.png;Training;2
1;6610.png;Training;1
1;6611.png;Training;4
0;6613.png;Training;3
1;6614.png;Training;2
2;6615.png;Training;1
1;6616.png;Training;0
1;6617.png;Training;0
2;6618.png;Training;1
1;6619.png;Training;0
2;6620.png;Training;3
2;6621.png;Training;1
2;6622.png;Training;4
2;6623.png;Training;0
2;6624.png;Training;3
1;6625.png;Training;3
2;6626.png;Training;1
2;6627.png;Training;1
2;6628.png;Training;3
2;6629.png;Training;2
0;6630.png;Training;1
2;6631.png;Training;0
2;6632.png;Training;2
2;6633.png;Training;0
1;6634.png;Training;0
0;6635.png;Training;3
0;6636.png;Training;3
2;6637.png;Training;3
2;6638.png;Training;0
2;6639.png;Training;2
2;6640.png;Training;1
0;6641.png;Training;1
2;6642.png;Training;3
1;6643.png;Training;0
2;6644.png;Training;2
2;6645.png;Training;0
2;6646.png;Training;4
0;6648.png;Training;4
2;6649.png;Training;2
2;6650.png;Training;3
2;6651.png;Training;4
2;6652.png;Training;3
2;6656.png;Training;1
2;6657.png;Training;0
2;6658.png;Training;0
2;6659.png;Training;1
2;6660.png;Training;3
0;6661.png;Training;1
2;6662.png;Training;2
1;6663.png;Training;4
0;6664.png;Training;4
2;6665.png;Training;1
1;6666.png;Training;0
2;6667.png;Training;1
2;6668.png;Training;0
2;6669.png;Training;4
2;6671.png;Training;1
2;6672.png;Training;4
2;6673.png;Training;2
2;6674.png;Training;3
2;6675.png;Training;2
1;6677.png;Training;2
2;6678.png;Training;1
0;6679.png;Training;2
2;6680.png;Training;1
2;6681.png;Training;2
0;6682.png;Training;2
0;6683.png;Training;1
0;6684.png;Training;1
1;6686.png;Training;2
2;6687.png;Training;3
0;6688.png;Training;2
1;6689.png;Training;1
1;6690.png;Training;0
1;6691.png;Training;4
0;6692.png;Training;0
2;6693.png;Training;1
2;6694.png;Training;3
1;6695.png;Training;3
2;6696.png;Training;1
2;6697.png;Training;2
2;6699.png;Training;2
1;6700.png;Training;4
2;6701.png;Training;3
2;6702.png;Training;4
1;6703.png;Training;3
2;6704.png;Training;1
0;6705.png;Training;4
2;6706.png;Training;0
1;6708.png;Training;1
0;6709.png;Training;1
0;6710.png;Training;3
1;6713.png;Training;3
1;6715.png;Training;4
1;6717.png;Training;2
0;6718.png;Training;0
2;6719.png;Training;3
2;6720.png;Training;1
2;6721.png;Training;3
1;6722.png;Training;1
2;6723.png;Training;3
1;6725.png;Training;3
2;6726.png;Training;4
0;6727.png;Training;3
2;6728.png;Training;2
2;6729.png;Training;2
2;6730.png;Training;4
2;6731.png;Training;2
2;6732.png;Training;1
2;6733.png;Training;4
2;6734.png;Training;0
2;6735.png;Training;4
2;6736.png;Training;3
2;6737.png;Training;3
2;6738.png;Training;2
2;6739.png;Training;3
1;6740.png;Training;2
0;6741.png;Training;2
0;6743.png;Training;3
1;6744.png;Training;1
2;6745.png;Training;0
2;6747.png;Training;3
2;6748.png;Training;0
2;6749.png;Training;0
2;6750.png;Training;1
2;6752.png;Training;1
2;6753.png;Training;4
2;6755.png;Training;3
1;6756.png;Training;1
0;6757.png;Training;0
1;6759.png;Training;4
2;6760.png;Training;0
2;6761.png;Training;2
2;6762.png;Training;3
1;6763.png;Training;2
1;6764.png;Training;0
2;6765.png;Training;0
2;6766.png;Training;3
2;6768.png;Training;1
0;6769.png;Training;1
2;6770.png;Training;1
2;6771.png;Training;0
0;6772.png;Training;4
2;6774.png;Training;0
2;6775.png;Training;1
1;6776.png;Training;4
2;6777.png;Training;1
2;6778.png;Training;4
1;6779.png;Training;0
2;6780.png;Training;0
1;6781.png;Training;4
2;6782.png;Training;2
1;6783.png;Training;4
1;6784.png;Training;0
0;6785.png;Training;0
2;6786.png;Training;4
1;6787.png;Training;1
2;6788.png;Training;4
2;6789.png;Training;1
0;6790.png;Training;1
1;6792.png;Training;4
1;6793.png;Training;2
2;6794.png;Training;3
1;6795.png;Training;1
2;6798.png;Training;4
0;6800.png;Training;1
2;6801.png;Training;3
2;6802.png;Training;1
