emotion;path;in_set
6;5411.png;Training
0;5412.png;Training
2;5413.png;Training
0;5414.png;Training
2;5415.png;Training
3;5416.png;Training
3;5417.png;Training
3;5418.png;Training
5;5419.png;Training
3;5420.png;Training
2;5421.png;Training
0;5422.png;Training
3;5423.png;Training
4;5424.png;Training
0;5425.png;Training
0;5426.png;Training
4;5427.png;Training
0;5428.png;Training
3;5429.png;Training
3;5430.png;Training
4;5431.png;Training
0;5432.png;Training
3;5433.png;Training
0;5434.png;Training
4;5435.png;Training
5;5436.png;Training
6;5437.png;Training
3;5438.png;Training
0;5439.png;Training
3;5440.png;Training
2;5441.png;Training
5;5442.png;Training
2;5443.png;Training
6;5444.png;Training
3;5445.png;Training
6;5446.png;Training
6;5447.png;Training
5;5448.png;Training
6;5449.png;Training
5;5450.png;Training
3;5451.png;Training
3;5452.png;Training
3;5453.png;Training
6;5454.png;Training
3;5455.png;Training
5;5456.png;Training
6;5457.png;Training
3;5458.png;Training
0;5459.png;Training
0;5460.png;Training
5;5461.png;Training
3;5462.png;Training
5;5463.png;Training
3;5464.png;Training
6;5465.png;Training
4;5466.png;Training
3;5467.png;Training
3;5468.png;Training
3;5469.png;Training
6;5470.png;Training
6;5471.png;Training
2;5472.png;Training
2;5473.png;Training
6;5474.png;Training
4;5475.png;Training
2;5476.png;Training
3;5477.png;Training
6;5478.png;Training
6;5479.png;Training
4;5480.png;Training
5;5481.png;Training
6;5482.png;Training
2;5483.png;Training
3;5484.png;Training
6;5485.png;Training
0;5486.png;Training
5;5487.png;Training
3;5488.png;Training
5;5489.png;Training
3;5490.png;Training
3;5491.png;Training
5;5492.png;Training
3;5493.png;Training
4;5494.png;Training
0;5495.png;Training
0;5496.png;Training
2;5497.png;Training
3;5498.png;Training
6;5499.png;Training
4;5500.png;Training
6;5501.png;Training
6;5502.png;Training
4;5503.png;Training
4;5504.png;Training
0;5505.png;Training
5;5506.png;Training
3;5507.png;Training
4;5508.png;Training
3;5509.png;Training
6;5510.png;Training
3;5511.png;Training
0;5512.png;Training
5;5513.png;Training
2;5514.png;Training
4;5515.png;Training
4;5516.png;Training
0;5517.png;Training
2;5518.png;Training
0;5519.png;Training
4;5520.png;Training
2;5521.png;Training
3;5522.png;Training
3;5523.png;Training
4;5524.png;Training
0;5525.png;Training
6;5526.png;Training
6;5527.png;Training
0;5528.png;Training
4;5529.png;Training
5;5530.png;Training
0;5531.png;Training
2;5532.png;Training
2;5533.png;Training
4;5534.png;Training
0;5535.png;Training
6;5536.png;Training
4;5537.png;Training
2;5538.png;Training
2;5539.png;Training
6;5540.png;Training
4;5541.png;Training
0;5542.png;Training
3;5543.png;Training
0;5544.png;Training
0;5545.png;Training
0;5546.png;Training
3;5547.png;Training
3;5548.png;Training
6;5549.png;Training
5;5550.png;Training
2;5551.png;Training
6;5552.png;Training
2;5553.png;Training
3;5554.png;Training
3;5555.png;Training
6;5556.png;Training
2;5557.png;Training
3;5558.png;Training
0;5559.png;Training
4;5560.png;Training
6;5561.png;Training
2;5562.png;Training
5;5563.png;Training
0;5564.png;Training
3;5565.png;Training
0;5566.png;Training
2;5567.png;Training
5;5568.png;Training
4;5569.png;Training
0;5570.png;Training
3;5571.png;Training
6;5572.png;Training
3;5573.png;Training
3;5574.png;Training
2;5575.png;Training
3;5576.png;Training
5;5577.png;Training
2;5578.png;Training
6;5579.png;Training
3;5580.png;Training
4;5581.png;Training
0;5582.png;Training
0;5583.png;Training
6;5584.png;Training
2;5585.png;Training
0;5586.png;Training
0;5587.png;Training
4;5588.png;Training
6;5589.png;Training
2;5590.png;Training
6;5591.png;Training
5;5592.png;Training
0;5593.png;Training
3;5594.png;Training
5;5595.png;Training
6;5596.png;Training
5;5597.png;Training
0;5598.png;Training
6;5599.png;Training
4;5600.png;Training
5;5601.png;Training
6;5602.png;Training
0;5603.png;Training
3;5604.png;Training
3;5605.png;Training
4;5606.png;Training
0;5607.png;Training
6;5608.png;Training
5;5609.png;Training
0;5610.png;Training
6;5611.png;Training
2;5612.png;Training
4;5613.png;Training
3;5614.png;Training
0;5615.png;Training
5;5616.png;Training
0;5617.png;Training
3;5618.png;Training
2;5619.png;Training
5;5620.png;Training
6;5621.png;Training
2;5622.png;Training
5;5623.png;Training
6;5624.png;Training
6;5625.png;Training
2;5626.png;Training
2;5627.png;Training
2;5628.png;Training
4;5629.png;Training
6;5630.png;Training
0;5631.png;Training
3;5632.png;Training
0;5633.png;Training
2;5634.png;Training
2;5635.png;Training
5;5636.png;Training
0;5637.png;Training
2;5638.png;Training
2;5639.png;Training
4;5640.png;Training
4;5641.png;Training
4;5642.png;Training
6;5643.png;Training
3;5644.png;Training
0;5645.png;Training
4;5646.png;Training
3;5647.png;Training
6;5648.png;Training
3;5649.png;Training
4;5650.png;Training
6;5651.png;Training
6;5652.png;Training
4;5653.png;Training
2;5654.png;Training
0;5655.png;Training
3;5656.png;Training
5;5657.png;Training
5;5658.png;Training
0;5659.png;Training
6;5660.png;Training
0;5661.png;Training
3;5662.png;Training
4;5663.png;Training
5;5664.png;Training
3;5665.png;Training
4;5666.png;Training
1;5667.png;Training
3;5668.png;Training
6;5669.png;Training
2;5670.png;Training
3;5671.png;Training
3;5672.png;Training
3;5673.png;Training
3;5674.png;Training
6;5675.png;Training
4;5676.png;Training
4;5677.png;Training
2;5678.png;Training
0;5679.png;Training
5;5680.png;Training
3;5681.png;Training
0;5682.png;Training
2;5683.png;Training
6;5684.png;Training
3;5685.png;Training
2;5686.png;Training
6;5687.png;Training
3;5688.png;Training
4;5689.png;Training
6;5690.png;Training
3;5691.png;Training
1;5692.png;Training
6;5693.png;Training
3;5694.png;Training
6;5695.png;Training
5;5696.png;Training
4;5697.png;Training
4;5698.png;Training
6;5699.png;Training
3;5700.png;Training
2;5701.png;Training
0;5702.png;Training
5;5703.png;Training
4;5704.png;Training
3;5705.png;Training
5;5706.png;Training
3;5707.png;Training
6;5708.png;Training
4;5709.png;Training
4;5710.png;Training
0;5711.png;Training
5;5712.png;Training
6;5713.png;Training
3;5714.png;Training
6;5715.png;Training
6;5716.png;Training
2;5717.png;Training
3;5718.png;Training
3;5719.png;Training
0;5720.png;Training
5;5721.png;Training
5;5722.png;Training
5;5723.png;Training
6;5724.png;Training
4;5725.png;Training
4;5726.png;Training
2;5727.png;Training
5;5728.png;Training
3;5729.png;Training
3;5730.png;Training
2;5731.png;Training
0;5732.png;Training
4;5733.png;Training
6;5734.png;Training
3;5735.png;Training
2;5736.png;Training
0;5737.png;Training
3;5738.png;Training
0;5739.png;Training
0;5740.png;Training
4;5741.png;Training
2;5742.png;Training
3;5743.png;Training
4;5744.png;Training
6;5745.png;Training
5;5746.png;Training
0;5747.png;Training
6;5748.png;Training
6;5749.png;Training
0;5750.png;Training
5;5751.png;Training
2;5752.png;Training
3;5753.png;Training
6;5754.png;Training
4;5755.png;Training
3;5756.png;Training
2;5757.png;Training
3;5758.png;Training
2;5759.png;Training
5;5760.png;Training
0;5761.png;Training
4;5762.png;Training
0;5763.png;Training
3;5764.png;Training
4;5765.png;Training
3;5766.png;Training
4;5767.png;Training
4;5768.png;Training
3;5769.png;Training
3;5770.png;Training
5;5771.png;Training
4;5772.png;Training
3;5773.png;Training
3;5774.png;Training
6;5775.png;Training
4;5776.png;Training
3;5777.png;Training
5;5778.png;Training
3;5779.png;Training
0;5780.png;Training
3;5781.png;Training
2;5782.png;Training
3;5783.png;Training
6;5784.png;Training
1;5785.png;Training
3;5786.png;Training
4;5787.png;Training
3;5788.png;Training
4;5789.png;Training
2;5790.png;Training
0;5791.png;Training
6;5792.png;Training
4;5793.png;Training
4;5794.png;Training
5;5795.png;Training
3;5796.png;Training
3;5797.png;Training
4;5798.png;Training
4;5799.png;Training
3;5800.png;Training
2;5801.png;Training
2;5802.png;Training
2;5803.png;Training
3;5804.png;Training
4;5805.png;Training
3;5806.png;Training
3;5807.png;Training
3;5808.png;Training
2;5809.png;Training
0;5810.png;Training
6;5811.png;Training
3;5812.png;Training
6;5813.png;Training
4;5814.png;Training
2;5815.png;Training
3;5816.png;Training
6;5817.png;Training
6;5818.png;Training
3;5819.png;Training
3;5820.png;Training
3;5821.png;Training
0;5822.png;Training
3;5823.png;Training
3;5824.png;Training
4;5825.png;Training
2;5826.png;Training
2;5827.png;Training
2;5828.png;Training
0;5829.png;Training
1;5830.png;Training
6;5831.png;Training
0;5832.png;Training
3;5833.png;Training
4;5834.png;Training
3;5835.png;Training
4;5836.png;Training
4;5837.png;Training
5;5838.png;Training
4;5839.png;Training
3;5840.png;Training
4;5841.png;Training
5;5842.png;Training
2;5843.png;Training
6;5844.png;Training
3;5845.png;Training
3;5846.png;Training
4;5847.png;Training
0;5848.png;Training
6;5849.png;Training
0;5850.png;Training
6;5851.png;Training
3;5852.png;Training
6;5853.png;Training
6;5854.png;Training
5;5855.png;Training
2;5856.png;Training
3;5857.png;Training
2;5858.png;Training
0;5859.png;Training
4;5860.png;Training
2;5861.png;Training
4;5862.png;Training
0;5863.png;Training
6;5864.png;Training
6;5865.png;Training
5;5866.png;Training
2;5867.png;Training
3;5868.png;Training
6;5869.png;Training
5;5870.png;Training
2;5871.png;Training
2;5872.png;Training
6;5873.png;Training
3;5874.png;Training
3;5875.png;Training
4;5876.png;Training
6;5877.png;Training
3;5878.png;Training
6;5879.png;Training
5;5880.png;Training
5;5881.png;Training
4;5882.png;Training
0;5883.png;Training
6;5884.png;Training
6;5885.png;Training
6;5886.png;Training
6;5887.png;Training
0;5888.png;Training
4;5889.png;Training
6;5890.png;Training
3;5891.png;Training
4;5892.png;Training
5;5893.png;Training
4;5894.png;Training
6;5895.png;Training
0;5896.png;Training
6;5897.png;Training
3;5898.png;Training
4;5899.png;Training
4;5900.png;Training
0;5901.png;Training
0;5902.png;Training
4;5903.png;Training
3;5904.png;Training
5;5905.png;Training
6;5906.png;Training
0;5907.png;Training
4;5908.png;Training
3;5909.png;Training
4;5910.png;Training
2;5911.png;Training
6;5912.png;Training
3;5913.png;Training
5;5914.png;Training
2;5915.png;Training
6;5916.png;Training
3;5917.png;Training
4;5918.png;Training
3;5919.png;Training
6;5920.png;Training
3;5921.png;Training
4;5922.png;Training
3;5923.png;Training
3;5924.png;Training
0;5925.png;Training
3;5926.png;Training
6;5927.png;Training
2;5928.png;Training
2;5929.png;Training
4;5930.png;Training
6;5931.png;Training
5;5932.png;Training
0;5933.png;Training
0;5934.png;Training
4;5935.png;Training
4;5936.png;Training
0;5937.png;Training
5;5938.png;Training
0;5939.png;Training
3;5940.png;Training
5;5941.png;Training
3;5942.png;Training
5;5943.png;Training
2;5944.png;Training
6;5945.png;Training
3;5946.png;Training
0;5947.png;Training
5;5948.png;Training
5;5949.png;Training
3;5950.png;Training
5;5951.png;Training
0;5952.png;Training
6;5953.png;Training
3;5954.png;Training
4;5955.png;Training
0;5956.png;Training
2;5957.png;Training
1;5958.png;Training
2;5959.png;Training
3;5960.png;Training
2;5961.png;Training
0;5962.png;Training
3;5963.png;Training
1;5964.png;Training
6;5965.png;Training
4;5966.png;Training
0;5967.png;Training
3;5968.png;Training
3;5969.png;Training
4;5970.png;Training
6;5971.png;Training
3;5972.png;Training
6;5973.png;Training
2;5974.png;Training
4;5975.png;Training
6;5976.png;Training
3;5977.png;Training
4;5978.png;Training
4;5979.png;Training
6;5980.png;Training
5;5981.png;Training
3;5982.png;Training
6;5983.png;Training
6;5984.png;Training
4;5985.png;Training
6;5986.png;Training
2;5987.png;Training
3;5988.png;Training
2;5989.png;Training
4;5990.png;Training
3;5991.png;Training
2;5992.png;Training
6;5993.png;Training
4;5994.png;Training
4;5995.png;Training
4;5996.png;Training
5;5997.png;Training
6;5998.png;Training
2;5999.png;Training
4;6000.png;Training
3;6001.png;Training
0;6002.png;Training
2;6003.png;Training
3;6004.png;Training
2;6005.png;Training
4;6006.png;Training
4;6007.png;Training
3;6008.png;Training
0;6009.png;Training
3;6010.png;Training
4;6011.png;Training
3;6012.png;Training
5;6013.png;Training
5;6014.png;Training
3;6015.png;Training
6;6016.png;Training
0;6017.png;Training
6;6018.png;Training
5;6019.png;Training
5;6020.png;Training
0;6021.png;Training
4;6022.png;Training
0;6023.png;Training
0;6024.png;Training
4;6025.png;Training
2;6026.png;Training
6;6027.png;Training
4;6028.png;Training
3;6029.png;Training
2;6030.png;Training
2;6031.png;Training
5;6032.png;Training
4;6033.png;Training
6;6034.png;Training
2;6035.png;Training
4;6036.png;Training
2;6037.png;Training
6;6038.png;Training
4;6039.png;Training
6;6040.png;Training
5;6041.png;Training
3;6042.png;Training
3;6043.png;Training
3;6044.png;Training
3;6045.png;Training
5;6046.png;Training
4;6047.png;Training
3;6048.png;Training
4;6049.png;Training
5;6050.png;Training
3;6051.png;Training
3;6052.png;Training
2;6053.png;Training
2;6054.png;Training
0;6055.png;Training
6;6056.png;Training
5;6057.png;Training
5;6058.png;Training
2;6059.png;Training
2;6060.png;Training
4;6061.png;Training
2;6062.png;Training
4;6063.png;Training
2;6064.png;Training
6;6065.png;Training
2;6066.png;Training
4;6067.png;Training
4;6068.png;Training
6;6069.png;Training
4;6070.png;Training
2;6071.png;Training
2;6072.png;Training
4;6073.png;Training
4;6074.png;Training
0;6075.png;Training
3;6076.png;Training
3;6077.png;Training
6;6078.png;Training
2;6079.png;Training
3;6080.png;Training
3;6081.png;Training
0;6082.png;Training
4;6083.png;Training
4;6084.png;Training
4;6085.png;Training
5;6086.png;Training
4;6087.png;Training
0;6088.png;Training
3;6089.png;Training
0;6090.png;Training
2;6091.png;Training
0;6092.png;Training
6;6093.png;Training
4;6094.png;Training
3;6095.png;Training
5;6096.png;Training
2;6097.png;Training
3;6098.png;Training
3;6099.png;Training
5;6100.png;Training
0;6101.png;Training
6;6102.png;Training
6;6103.png;Training
2;6104.png;Training
0;6105.png;Training
2;6106.png;Training
0;6107.png;Training
3;6108.png;Training
4;6109.png;Training
3;6110.png;Training
2;6111.png;Training
3;6112.png;Training
2;6113.png;Training
2;6114.png;Training
0;6115.png;Training
4;6116.png;Training
3;6117.png;Training
5;6118.png;Training
0;6119.png;Training
2;6120.png;Training
0;6121.png;Training
0;6122.png;Training
3;6123.png;Training
3;6124.png;Training
3;6125.png;Training
3;6126.png;Training
3;6127.png;Training
4;6128.png;Training
0;6129.png;Training
0;6130.png;Training
0;6131.png;Training
3;6132.png;Training
5;6133.png;Training
0;6134.png;Training
3;6135.png;Training
3;6136.png;Training
4;6137.png;Training
3;6138.png;Training
5;6139.png;Training
2;6140.png;Training
3;6141.png;Training
4;6142.png;Training
6;6143.png;Training
2;6144.png;Training
1;6145.png;Training
2;6146.png;Training
4;6147.png;Training
6;6148.png;Training
4;6149.png;Training
3;6150.png;Training
4;6151.png;Training
2;6152.png;Training
2;6153.png;Training
5;6154.png;Training
0;6155.png;Training
6;6156.png;Training
3;6157.png;Training
6;6158.png;Training
4;6159.png;Training
5;6160.png;Training
2;6161.png;Training
4;6162.png;Training
2;6163.png;Training
5;6164.png;Training
4;6165.png;Training
6;6166.png;Training
5;6167.png;Training
0;6168.png;Training
3;6169.png;Training
4;6170.png;Training
0;6171.png;Training
4;6172.png;Training
4;6173.png;Training
6;6174.png;Training
3;6175.png;Training
2;6176.png;Training
1;6177.png;Training
6;6178.png;Training
2;6179.png;Training
6;6180.png;Training
3;6181.png;Training
5;6182.png;Training
3;6183.png;Training
5;6184.png;Training
4;6185.png;Training
3;6186.png;Training
4;6187.png;Training
4;6188.png;Training
3;6189.png;Training
2;6190.png;Training
3;6191.png;Training
6;6192.png;Training
6;6193.png;Training
2;6194.png;Training
6;6195.png;Training
6;6196.png;Training
3;6197.png;Training
3;6198.png;Training
5;6199.png;Training
3;6200.png;Training
0;6201.png;Training
4;6202.png;Training
6;6203.png;Training
3;6204.png;Training
6;6205.png;Training
3;6206.png;Training
4;6207.png;Training
0;6208.png;Training
3;6209.png;Training
4;6210.png;Training
3;6211.png;Training
4;6212.png;Training
6;6213.png;Training
2;6214.png;Training
4;6215.png;Training
5;6216.png;Training
3;6217.png;Training
3;6218.png;Training
5;6219.png;Training
3;6220.png;Training
6;6221.png;Training
4;6222.png;Training
0;6223.png;Training
5;6224.png;Training
0;6225.png;Training
2;6226.png;Training
2;6227.png;Training
0;6228.png;Training
1;6229.png;Training
3;6230.png;Training
1;6231.png;Training
0;6232.png;Training
5;6233.png;Training
6;6234.png;Training
0;6235.png;Training
6;6236.png;Training
3;6237.png;Training
6;6238.png;Training
5;6239.png;Training
5;6240.png;Training
4;6241.png;Training
3;6242.png;Training
6;6243.png;Training
0;6244.png;Training
4;6245.png;Training
3;6246.png;Training
5;6247.png;Training
2;6248.png;Training
4;6249.png;Training
5;6250.png;Training
3;6251.png;Training
4;6252.png;Training
3;6253.png;Training
2;6254.png;Training
6;6255.png;Training
3;6256.png;Training
5;6257.png;Training
5;6258.png;Training
0;6259.png;Training
3;6260.png;Training
3;6261.png;Training
3;6262.png;Training
2;6263.png;Training
4;6264.png;Training
4;6265.png;Training
6;6266.png;Training
5;6267.png;Training
3;6268.png;Training
5;6269.png;Training
0;6270.png;Training
3;6271.png;Training
3;6272.png;Training
5;6273.png;Training
0;6274.png;Training
5;6275.png;Training
5;6276.png;Training
6;6277.png;Training
0;6278.png;Training
3;6279.png;Training
3;6280.png;Training
3;6281.png;Training
0;6282.png;Training
0;6283.png;Training
3;6284.png;Training
3;6285.png;Training
0;6286.png;Training
3;6287.png;Training
5;6288.png;Training
6;6289.png;Training
3;6290.png;Training
2;6291.png;Training
3;6292.png;Training
0;6293.png;Training
0;6294.png;Training
3;6295.png;Training
6;6296.png;Training
6;6297.png;Training
2;6298.png;Training
0;6299.png;Training
3;6300.png;Training
2;6301.png;Training
3;6302.png;Training
3;6303.png;Training
4;6304.png;Training
3;6305.png;Training
5;6306.png;Training
4;6307.png;Training
3;6308.png;Training
5;6309.png;Training
3;6310.png;Training
2;6311.png;Training
4;6312.png;Training
3;6313.png;Training
0;6314.png;Training
6;6315.png;Training
0;6316.png;Training
0;6317.png;Training
5;6318.png;Training
0;6319.png;Training
3;6320.png;Training
0;6321.png;Training
5;6322.png;Training
2;6323.png;Training
4;6324.png;Training
6;6325.png;Training
6;6326.png;Training
3;6327.png;Training
5;6328.png;Training
3;6329.png;Training
4;6330.png;Training
1;6331.png;Training
4;6332.png;Training
3;6333.png;Training
3;6334.png;Training
6;6335.png;Training
3;6336.png;Training
3;6337.png;Training
3;6338.png;Training
0;6339.png;Training
6;6340.png;Training
2;6341.png;Training
1;6342.png;Training
6;6343.png;Training
3;6344.png;Training
2;6345.png;Training
2;6346.png;Training
0;6347.png;Training
6;6348.png;Training
3;6349.png;Training
3;6350.png;Training
6;6351.png;Training
3;6352.png;Training
4;6353.png;Training
4;6354.png;Training
0;6355.png;Training
2;6356.png;Training
5;6357.png;Training
3;6358.png;Training
5;6359.png;Training
5;6360.png;Training
2;6361.png;Training
3;6362.png;Training
3;6363.png;Training
0;6364.png;Training
0;6365.png;Training
2;6366.png;Training
3;6367.png;Training
3;6368.png;Training
4;6369.png;Training
3;6370.png;Training
0;6371.png;Training
3;6372.png;Training
2;6373.png;Training
4;6374.png;Training
0;6375.png;Training
4;6376.png;Training
3;6377.png;Training
3;6378.png;Training
3;6379.png;Training
3;6380.png;Training
6;6381.png;Training
3;6382.png;Training
2;6383.png;Training
5;6384.png;Training
6;6385.png;Training
3;6386.png;Training
5;6387.png;Training
6;6388.png;Training
2;6389.png;Training
0;6390.png;Training
4;6391.png;Training
3;6392.png;Training
2;6393.png;Training
3;6394.png;Training
6;6395.png;Training
2;6396.png;Training
6;6397.png;Training
6;6398.png;Training
2;6399.png;Training
4;6400.png;Training
3;6401.png;Training
6;6402.png;Training
3;6403.png;Training
0;6404.png;Training
6;6405.png;Training
3;6406.png;Training
3;6407.png;Training
2;6408.png;Training
0;6409.png;Training
5;6410.png;Training
5;6411.png;Training
6;6412.png;Training
0;6413.png;Training
3;6414.png;Training
5;6415.png;Training
3;6416.png;Training
5;6417.png;Training
3;6418.png;Training
5;6419.png;Training
0;6420.png;Training
2;6421.png;Training
1;6422.png;Training
6;6423.png;Training
0;6424.png;Training
5;6425.png;Training
0;6426.png;Training
5;6427.png;Training
0;6428.png;Training
2;6429.png;Training
3;6430.png;Training
2;6431.png;Training
3;6432.png;Training
2;6433.png;Training
4;6434.png;Training
2;6435.png;Training
3;6436.png;Training
3;6437.png;Training
2;6438.png;Training
5;6439.png;Training
4;6440.png;Training
5;6441.png;Training
0;6442.png;Training
6;6443.png;Training
3;6444.png;Training
4;6445.png;Training
6;6446.png;Training
5;6447.png;Training
4;6448.png;Training
4;6449.png;Training
3;6450.png;Training
5;6451.png;Training
2;6452.png;Training
6;6453.png;Training
1;6454.png;Training
3;6455.png;Training
6;6456.png;Training
3;6457.png;Training
0;6458.png;Training
4;6459.png;Training
4;6460.png;Training
2;6461.png;Training
2;6462.png;Training
6;6463.png;Training
4;6464.png;Training
2;6465.png;Training
3;6466.png;Training
4;6467.png;Training
3;6468.png;Training
2;6469.png;Training
2;6470.png;Training
0;6471.png;Training
3;6472.png;Training
3;6473.png;Training
4;6474.png;Training
3;6475.png;Training
6;6476.png;Training
3;6477.png;Training
4;6478.png;Training
0;6479.png;Training
6;6480.png;Training
4;6481.png;Training
2;6482.png;Training
5;6483.png;Training
0;6484.png;Training
4;6485.png;Training
5;6486.png;Training
3;6487.png;Training
1;6488.png;Training
3;6489.png;Training
0;6490.png;Training
0;6491.png;Training
4;6492.png;Training
0;6493.png;Training
4;6494.png;Training
2;6495.png;Training
2;6496.png;Training
5;6497.png;Training
0;6498.png;Training
6;6499.png;Training
3;6500.png;Training
0;6501.png;Training
6;6502.png;Training
6;6503.png;Training
4;6504.png;Training
3;6505.png;Training
2;6506.png;Training
3;6507.png;Training
5;6508.png;Training
2;6509.png;Training
2;6510.png;Training
2;6511.png;Training
0;6512.png;Training
5;6513.png;Training
4;6514.png;Training
2;6515.png;Training
0;6516.png;Training
2;6517.png;Training
5;6518.png;Training
0;6519.png;Training
0;6520.png;Training
4;6521.png;Training
3;6522.png;Training
6;6523.png;Training
2;6524.png;Training
3;6525.png;Training
3;6526.png;Training
6;6527.png;Training
6;6528.png;Training
4;6529.png;Training
0;6530.png;Training
0;6531.png;Training
3;6532.png;Training
5;6533.png;Training
3;6534.png;Training
3;6535.png;Training
2;6536.png;Training
5;6537.png;Training
5;6538.png;Training
4;6539.png;Training
6;6540.png;Training
4;6541.png;Training
4;6542.png;Training
2;6543.png;Training
4;6544.png;Training
6;6545.png;Training
3;6546.png;Training
0;6547.png;Training
1;6548.png;Training
4;6549.png;Training
4;6550.png;Training
4;6551.png;Training
6;6552.png;Training
3;6553.png;Training
6;6554.png;Training
0;6555.png;Training
0;6556.png;Training
4;6557.png;Training
2;6558.png;Training
5;6559.png;Training
3;6560.png;Training
0;6561.png;Training
1;6562.png;Training
4;6563.png;Training
5;6564.png;Training
5;6565.png;Training
0;6566.png;Training
5;6567.png;Training
2;6568.png;Training
2;6569.png;Training
2;6570.png;Training
4;6571.png;Training
5;6572.png;Training
0;6573.png;Training
4;6574.png;Training
0;6575.png;Training
0;6576.png;Training
3;6577.png;Training
3;6578.png;Training
3;6579.png;Training
0;6580.png;Training
0;6581.png;Training
6;6582.png;Training
2;6583.png;Training
0;6584.png;Training
6;6585.png;Training
3;6586.png;Training
6;6587.png;Training
5;6588.png;Training
0;6589.png;Training
6;6590.png;Training
2;6591.png;Training
3;6592.png;Training
6;6593.png;Training
5;6594.png;Training
5;6595.png;Training
6;6596.png;Training
3;6597.png;Training
5;6598.png;Training
6;6599.png;Training
3;6600.png;Training
5;6601.png;Training
6;6602.png;Training
3;6603.png;Training
3;6604.png;Training
3;6605.png;Training
5;6606.png;Training
3;6607.png;Training
2;6608.png;Training
3;6609.png;Training
3;6610.png;Training
3;6611.png;Training
5;6612.png;Training
6;6613.png;Training
3;6614.png;Training
4;6615.png;Training
3;6616.png;Training
3;6617.png;Training
0;6618.png;Training
3;6619.png;Training
0;6620.png;Training
0;6621.png;Training
2;6622.png;Training
2;6623.png;Training
4;6624.png;Training
3;6625.png;Training
4;6626.png;Training
2;6627.png;Training
4;6628.png;Training
0;6629.png;Training
6;6630.png;Training
2;6631.png;Training
0;6632.png;Training
2;6633.png;Training
3;6634.png;Training
6;6635.png;Training
6;6636.png;Training
4;6637.png;Training
1;6638.png;Training
2;6639.png;Training
4;6640.png;Training
6;6641.png;Training
0;6642.png;Training
3;6643.png;Training
4;6644.png;Training
4;6645.png;Training
4;6646.png;Training
5;6647.png;Training
6;6648.png;Training
2;6649.png;Training
2;6650.png;Training
4;6651.png;Training
0;6652.png;Training
5;6653.png;Training
5;6654.png;Training
5;6655.png;Training
4;6656.png;Training
4;6657.png;Training
2;6658.png;Training
4;6659.png;Training
4;6660.png;Training
6;6661.png;Training
4;6662.png;Training
3;6663.png;Training
6;6664.png;Training
2;6665.png;Training
3;6666.png;Training
2;6667.png;Training
2;6668.png;Training
2;6669.png;Training
5;6670.png;Training
4;6671.png;Training
0;6672.png;Training
4;6673.png;Training
0;6674.png;Training
4;6675.png;Training
5;6676.png;Training
3;6677.png;Training
2;6678.png;Training
6;6679.png;Training
2;6680.png;Training
2;6681.png;Training
6;6682.png;Training
6;6683.png;Training
6;6684.png;Training
5;6685.png;Training
3;6686.png;Training
0;6687.png;Training
6;6688.png;Training
3;6689.png;Training
3;6690.png;Training
3;6691.png;Training
6;6692.png;Training
2;6693.png;Training
0;6694.png;Training
3;6695.png;Training
4;6696.png;Training
0;6697.png;Training
5;6698.png;Training
4;6699.png;Training
3;6700.png;Training
0;6701.png;Training
0;6702.png;Training
3;6703.png;Training
4;6704.png;Training
6;6705.png;Training
4;6706.png;Training
5;6707.png;Training
3;6708.png;Training
6;6709.png;Training
6;6710.png;Training
5;6711.png;Training
5;6712.png;Training
3;6713.png;Training
5;6714.png;Training
3;6715.png;Training
5;6716.png;Training
3;6717.png;Training
6;6718.png;Training
4;6719.png;Training
4;6720.png;Training
4;6721.png;Training
3;6722.png;Training
4;6723.png;Training
5;6724.png;Training
3;6725.png;Training
0;6726.png;Training
6;6727.png;Training
2;6728.png;Training
2;6729.png;Training
2;6730.png;Training
0;6731.png;Training
2;6732.png;Training
4;6733.png;Training
4;6734.png;Training
4;6735.png;Training
4;6736.png;Training
4;6737.png;Training
0;6738.png;Training
0;6739.png;Training
3;6740.png;Training
6;6741.png;Training
5;6742.png;Training
6;6743.png;Training
3;6744.png;Training
0;6745.png;Training
5;6746.png;Training
2;6747.png;Training
4;6748.png;Training
2;6749.png;Training
4;6750.png;Training
5;6751.png;Training
0;6752.png;Training
2;6753.png;Training
5;6754.png;Training
4;6755.png;Training
3;6756.png;Training
6;6757.png;Training
5;6758.png;Training
3;6759.png;Training
4;6760.png;Training
4;6761.png;Training
4;6762.png;Training
3;6763.png;Training
3;6764.png;Training
0;6765.png;Training
0;6766.png;Training
5;6767.png;Training
2;6768.png;Training
6;6769.png;Training
4;6770.png;Training
4;6771.png;Training
6;6772.png;Training
5;6773.png;Training
2;6774.png;Training
4;6775.png;Training
3;6776.png;Training
2;6777.png;Training
4;6778.png;Training
3;6779.png;Training
1;6780.png;Training
3;6781.png;Training
4;6782.png;Training
3;6783.png;Training
3;6784.png;Training
6;6785.png;Training
4;6786.png;Training
3;6787.png;Training
4;6788.png;Training
0;6789.png;Training
6;6790.png;Training
5;6791.png;Training
3;6792.png;Training
3;6793.png;Training
4;6794.png;Training
3;6795.png;Training
5;6796.png;Training
5;6797.png;Training
4;6798.png;Training
5;6799.png;Training
6;6800.png;Training
2;6801.png;Training
2;6802.png;Training
2;6803.png;Training
3;6804.png;Training
6;6805.png;Training
6;6806.png;Training
4;6807.png;Training
2;6808.png;Training
0;6809.png;Training
